Disease,Count
Gastroenteritis,20453
Respiratory Tract Infection,10875
Feline Panleukopenia,8593
Acute Enteritis,8012
Conjunctivitis,7665
Canine Parvovirus Disease,7350
Bladder Stones,6802
Trauma/Injury,6519
Feline Calicivirus Infection,6382
Cystitis,6177
Coronavirus Infection,5711
Feline Lower Urinary Tract Syndrome (FLUTS),5658
Pneumonia,5561
Ear Mites,5434
Pancreatitis,5330
Bacterial Skin Diseases,5306
Feline Upper Respiratory Tract Infection Syndrome,5230
Allergic Dermatitis,4881
Mycoplasmosis,4724
Malassezia Otitis,4656
Urinary Incontinence,4144
Acute Gastritis,4046
Vomiting Under Investigation,3897
Feline Infectious Peritonitis (FIP),3650
Pyometra,3618
Fungal Dermatitis,3281
Canine Distemper,3050
Superficial Pyoderma,3026
Canine Coronavirus Infection,2995
Pyoderma,2995
Renal Anemia,2963
Corneal Ulcer,2941
Ringworm in Cats,2941
Bronchitis,2800
Chronic Diarrhea,2730
Feline Coronavirus Infection,2729
Feline Herpesvirus Infection,2724
Otitis Externa,2640
Hepatitis,2548
Hemorrhagic Gastroenteritis,2528
Coccidiosis,2527
Constipation,2516
Trichomoniasis,2475
Fungal Infection Diseases,2448
Chronic Renal Failure,2424
Cough Under Investigation,2371
Acute Renal Failure,2350
Bacterial and Fungal Otitis,2273
Feline Ringworm,2256
Stomatitis,2160
Bronchopneumonia,2140
Idiopathic Cystitis,2135
Diarrhea Under Investigation,2114
Acute Hemorrhagic Enteritis,2038
Colitis,2034
Patellar Dislocation,2003
Allergy,1977
Pulmonary Edema,1964
Bacterial Folliculitis,1953
Immune-Mediated Diseases,1952
Contact Allergic Dermatitis,1914
Kidney Stones,1882
Fever of Unknown Origin (FUO),1776
Dyspepsia,1751
Gastrointestinal Foreign Body,1739
Malassezia Dermatitis,1730
Bacterial Enteritis,1651
Interdigital Dermatitis,1623
Arthritis,1621
Gastritis,1541
Gingivitis,1503
Urethral Diseases,1434
Immunologically Mediated Diseases,1383
Common Cold,1381
Inflammatory Bowel Disease (IBD),1366
Hyperthermia,1364
Hydrometra,1349
Helicobacter Infection,1344
Foreign Body in the Stomach,1322
Acute Pancreatitis,1312
Tick Infection,1288
Dermatophytosis,1229
Otitis Media,1180
Cholestasis,1180
Gastrointestinal Bloating,1169
Gastrointestinal Motility Disorder,1167
Fatty Liver,1155
Cholecystitis,1146
Breast Tumor,1137
Ascariasis,1126
Flea Infestation,1119
Hypoglycemia,1107
Ascites,1073
Food Intolerance,1068
Hypertrophic Cardiomyopathy,1061
Hemoperitoneum,1051
Atopic Dermatitis,1024
Bordetella Infection,1018
Dermatomyositis,995
Dehydration,963
Feline Infectious Enteritis,938
Bacterial Dermatitis,930
Anal Gland Inflammation,919
Periodontitis,914
Rabies,914
Intestinal Obstruction,907
Subcutaneous Abscess,903
Staphylococcal Infection,901
Bite,898
Urinary Tract Infection (UTI),886
Urethral Calculi,883
Vomiting of Undetermined Cause,875
Pelvic Fracture,857
Giant Bacterial Infection,836
Pending Investigation of Jaundice,836
Urethral Obstruction,832
Femoral Fracture,830
Purulent Traumatic Dermatitis,825
Gastric Ulcer,821
Contusion,816
Endometritis,802
FSA,788
Subconjunctival Cyst,787
Irritable Bowel Syndrome (IBS),786
Nasolacrimal Duct Obstruction,782
Anorexia,776
Chronic Rhinitis,765
Leukocyte Disorders,765
Chronic Kidney Disease (CKD),751
Shock,742
Systemic Inflammatory Response Syndrome (SIRS),730
Giardia lamblia,723
Pericardial Diseases,720
