Disease,Count,Prior_Probability
Gastroenteritis,20453,0.044336780039452864
Respiratory Tract Infection,10875,0.02357416921376081
Feline Panleukopenia,8593,0.018627387223342222
Acute Enteritis,8012,0.017367930458910493
Conjunctivitis,7665,0.016615724783767966
Canine Parvovirus Disease,7350,0.015932886778955584
Bladder Stones,6802,0.01474496542455182
Trauma/Injury,6519,0.014131495090069585
Feline Calicivirus Infection,6382,0.013834514751468643
Cystitis,6177,0.01339012811341614
Coronavirus Infection,5711,0.012379961414233379
Feline Lower Urinary Tract Syndrome (FLUTS),5658,0.012265071210249074
Pneumonia,5561,0.012054800459560816
Ear Mites,5434,0.011779497517938047
Pancreatitis,5330,0.01155405258936507
Bacterial Skin Diseases,5306,0.01150202683661746
Feline Upper Respiratory Tract Infection Syndrome,5230,0.011337278619583361
Allergic Dermatitis,4881,0.010580737465045197
Mycoplasmosis,4724,0.010240402332487915
Malassezia Otitis,4656,0.010092996033036353
Urinary Incontinence,4144,0.008983113307754005
Acute Gastritis,4046,0.008770674817367931
Vomiting Under Investigation,3897,0.008447681602393184
Feline Infectious Peritonitis (FIP),3650,0.007912249897032365
Pyometra,3618,0.007842882226702218
Fungal Dermatitis,3281,0.0071123539485378594
Canine Distemper,3050,0.006611606078342113
Superficial Pyoderma,3026,0.0065595803255945025
Canine Coronavirus Infection,2995,0.006492380394962173
Pyoderma,2995,0.006492380394962173
Renal Anemia,2963,0.006423012724632026
Corneal Ulcer,2941,0.00637532245128005
Ringworm in Cats,2941,0.00637532245128005
Bronchitis,2800,0.006069671153887841
Chronic Diarrhea,2730,0.005917929375040645
Feline Coronavirus Infection,2729,0.005915761635342828
Feline Herpesvirus Infection,2724,0.005904922936853743
Otitis Externa,2640,0.005722832802237107
Hepatitis,2548,0.005523400750037936
Hemorrhagic Gastroenteritis,2528,0.0054800459560815935
Coccidiosis,2527,0.005477878216383777
Constipation,2516,0.005454033079707789
Trichomoniasis,2475,0.005365155752097288
Fungal Infection Diseases,2448,0.005306626780256227
Chronic Renal Failure,2424,0.005254601027508617
Cough Under Investigation,2371,0.005139710823524311
Acute Renal Failure,2350,0.0050941882898701525
Bacterial and Fungal Otitis,2273,0.0049272723331382365
Feline Ringworm,2256,0.0048904207582753465
Stomatitis,2160,0.004682317747284906
Bronchopneumonia,2140,0.0046389629533285645
Idiopathic Cystitis,2135,0.0046281242548394785
Diarrhea Under Investigation,2114,0.00458260172118532
Acute Hemorrhagic Enteritis,2038,0.004417853504151222
Colitis,2034,0.004409182545359954
Patellar Dislocation,2003,0.004341982614727623
Allergy,1977,0.004285621382584379
Pulmonary Edema,1964,0.004257440766512757
Bacterial Folliculitis,1953,0.004233595629836769
Immune-Mediated Diseases,1952,0.004231427890138952
Contact Allergic Dermatitis,1914,0.004149053781621903
Kidney Stones,1882,0.004079686111291756
Fever of Unknown Origin (FUO),1776,0.0038499057033231448
Dyspepsia,1751,0.0037957122108777178
Gastrointestinal Foreign Body,1739,0.003769699334503913
Malassezia Dermatitis,1730,0.003750189677223559
Bacterial Enteritis,1651,0.0035789382410960093
Interdigital Dermatitis,1623,0.003518241529557131
Arthritis,1621,0.0035139060501614967
Gastritis,1541,0.0033404868743361297
Gingivitis,1503,0.0032581127658190805
Urethral Diseases,1434,0.0031085387266697015
Immunologically Mediated Diseases,1383,0.00299798400208103
Common Cold,1381,0.002993648522685396
Inflammatory Bowel Disease (IBD),1366,0.0029611324272181398
Hyperthermia,1364,0.0029567969478225056
Hydrometra,1349,0.0029242808523552493
Helicobacter Infection,1344,0.0029134421538661638
Foreign Body in the Stomach,1322,0.0028657518805141878
Acute Pancreatitis,1312,0.002844074483536017
Tick Infection,1288,0.002792048730788407
Dermatophytosis,1229,0.002664152088617199
Otitis Media,1180,0.0025579328434241614
Cholestasis,1180,0.0025579328434241614
Gastrointestinal Bloating,1169,0.002534087706748174
Gastrointestinal Motility Disorder,1167,0.0025297522273525397
Fatty Liver,1155,0.0025037393509787344
Cholecystitis,1146,0.0024842296936983805
Breast Tumor,1137,0.002464720036418027
Ascariasis,1126,0.002440874899742039
Flea Infestation,1119,0.0024257007218573194
Hypoglycemia,1107,0.0023996878454835145
Ascites,1073,0.0023259846957577332
Food Intolerance,1068,0.002315145997268648
