Symptom1,Symptom2,Count
Increased vaginal discharge,Lymphadenopathy,174
Increased vaginal discharge,Mental depression,1046
Increased vaginal discharge,Increased water intake,64
Increased vaginal discharge,Purulent ocular discharge,241
Increased vaginal discharge,Vomiting,416
Increased vaginal discharge,Salivation,59
Increased vaginal discharge,Sneezing,348
Increased vaginal discharge,Reduced food intake,278
Increased vaginal discharge,"Lice, fleas, ticks, or mites found on the body",49
Increased vaginal discharge,Scratching one's ears,4
Increased vaginal discharge,Papule,33
Increased vaginal discharge,Melena,70
Increased vaginal discharge,Pain,25
Increased vaginal discharge,Limb Edema,2
Increased vaginal discharge,Wiping the buttocks,21
Increased vaginal discharge,Pale visible mucosa,64
Increased vaginal discharge,Pupillary dilation,22
Increased vaginal discharge,Rash,16
Increased vaginal discharge,Tilted head,16
Increased vaginal discharge,Skin Wound,133
Increased vaginal discharge,There is a sense of fluctuation.,2
Increased vaginal discharge,Polydipsia and Polyuria,81
Increased vaginal discharge,Soft Stool,60
Increased vaginal discharge,"The head is held high, unwilling to bow down.",13
Increased vaginal discharge,Itching,221
Increased vaginal discharge,Shaking Head and Scratching Ears,37
Increased vaginal discharge,Ulcer,9
Increased vaginal discharge,Weakness in the limbs or forelimbs and hindlimbs,44
Increased vaginal discharge,Paralysis of the hind limbs,53
Increased vaginal discharge,Reduced physical activity,110
Increased vaginal discharge,Skin laxity and loss of elasticity,17
Increased vaginal discharge,Pustule,127
Increased vaginal discharge,Purulent ear discharge,105
Increased vaginal discharge,Light-colored bloody stool,45
Increased vaginal discharge,Serous Nasal Discharge,2
Increased vaginal discharge,Sinusitis,1
Increased vaginal discharge,Scab Formation,97
Increased vaginal discharge,Shortness of breath,61
Increased vaginal discharge,Mental retardation,3
Increased vaginal discharge,Polyuria,60
Increased vaginal discharge,Skeletal Deformation,5
Increased vaginal discharge,Skin redness and swelling,236
Increased vaginal discharge,Swelling,13
Increased vaginal discharge,Purulent discharge from the vagina,14
Increased vaginal discharge,No defecation,116
Increased vaginal discharge,Reduced water intake,63
Increased vaginal discharge,Mucosal Hemorrhage,77
Increased vaginal discharge,Mucosal cyanosis,8
Increased vaginal discharge,Loss of appetite,133
Increased vaginal discharge,Urinary Incontinence,44
Increased vaginal discharge,Protrusion of the eyeball from the orbit,2
Increased vaginal discharge,Reddish-brown urine,3
Increased vaginal discharge,Swelling at the base of the penis,88
Increased vaginal discharge,Urine appears yellow to dark brown.,1
Increased vaginal discharge,Oral Bleeding,38
Increased vaginal discharge,Quadriplegia,6
Increased vaginal discharge,Oral Ulcer,6
Increased vaginal discharge,Oral Malodor,55
Increased vaginal discharge,Ravenous appetite,4
Increased vaginal discharge,Reflux,6
Increased vaginal discharge,Stiffness and difficulty in movement after prolonged lying down or upon getting up,2
Increased vaginal discharge,Limping,24
Increased vaginal discharge,Swelling and redness,5
Increased vaginal discharge,Skin redness,44
Increased vaginal discharge,Undescended Testicle,9
Increased vaginal discharge,Purulent nasal discharge,5
Increased vaginal discharge,Nystagmus,101
Increased vaginal discharge,Scratch the eyes,35
Increased vaginal discharge,Visible mucosal cyanosis,86
Increased vaginal discharge,Tilted Head,4
Increased vaginal discharge,Stenosis of the nasal aperture,10
Increased vaginal discharge,Vaginal discharge,64
Increased vaginal discharge,Shock,9
Increased vaginal discharge,Reduced Urination,57
Increased vaginal discharge,Muscle Atrophy,24
Increased vaginal discharge,Pica,19
Increased vaginal discharge,Swelling at the affected area,2
Increased vaginal discharge,Mouth Breathing,3
Increased vaginal discharge,Mouth Breathing (Cat),5
Increased vaginal discharge,Redness and swelling,28
Increased vaginal discharge,Runny nose,98
Increased vaginal discharge,Miscarriage,12
Increased vaginal discharge,Loss of Appetite,9
Increased vaginal discharge,Ulceration,41
Increased vaginal discharge,Nasal discharge,54
Increased vaginal discharge,Loose gums,40
Increased vaginal discharge,Syncope,18
Increased vaginal discharge,On tiptoe,2
Increased vaginal discharge,Visible mucosal icterus,3
Increased vaginal discharge,Oily ear discharge,14
Increased vaginal discharge,Oliguria,20
Increased vaginal discharge,Itchy skin,5
Increased vaginal discharge,Pigmentation,29
Increased vaginal discharge,Oily Ear Discharge,12
Increased vaginal discharge,Rubbing the buttocks,17
Increased vaginal discharge,Oliguria or Anuria,11
Increased vaginal discharge,Reduced urination,1
Increased vaginal discharge,Perianal Pain,13
Increased vaginal discharge,Scratching the eyes,20
Increased vaginal discharge,Skin Odor,31
Increased vaginal discharge,Mucopurulent ocular discharge,7
Increased vaginal discharge,Mucosal Ulcer,5
Increased vaginal discharge,Tic,23
Increased vaginal discharge,Mental Retardation,2
Increased vaginal discharge,Purulent ocular discharge (purulent eye),8
Increased vaginal discharge,Nasal stenosis,42
Increased vaginal discharge,Neurological symptoms (such as convulsions),2
Increased vaginal discharge,Purulent Nasal Discharge (Nasal Discharge),19
Increased vaginal discharge,Weakness in the limbs,9
Increased vaginal discharge,Weight Fluctuation,13
Increased vaginal discharge,The color of the fur on the dorsal side of the tail has darkened to a deep coffee brown.,4
Increased vaginal discharge,The tail hair has become very greasy.,5
Increased vaginal discharge,Thickening and roughening of the skin,4
Increased vaginal discharge,Oral Pain,3
Increased vaginal discharge,Sialorrhea,1
Increased vaginal discharge,No Urination,35
Increased vaginal discharge,Nasal Stenosis,11
Increased vaginal discharge,Respiratory Deficiency,14
Increased vaginal discharge,Mania,1
Increased vaginal discharge,Pupillary white discharge,16
Increased vaginal discharge,Salivate,4
Increased vaginal discharge,Weight loss,14
Increased vaginal discharge,Scrotal erythema,22
Increased vaginal discharge,Skin Bruising,29
Increased vaginal discharge,Uterine Prolapse,29
Increased vaginal discharge,Jaundice,3
Increased vaginal discharge,Visible mucosal congestion,1
Increased vaginal discharge,Mucosal Ulceration,14
Increased vaginal discharge,Palpation reveals a fluctuant sensation.,3
Increased vaginal discharge,Purulent intracanalicular discharge,4
Increased vaginal discharge,Unpleasant Odor in the Ear,2
Increased vaginal discharge,Insect eggs,3
Increased vaginal discharge,Plaque,4
Increased vaginal discharge,Neurological symptoms (such as seizures),13
Increased vaginal discharge,There are black spots the size of sesame seeds on the skin.,12
Increased vaginal discharge,Insect Eggs,10
Increased vaginal discharge,Nasal Bleeding,4
Increased vaginal discharge,Unpleasant Skin Odor,7
Increased vaginal discharge,Nodule,5
Increased vaginal discharge,Weakness of the limbs,3
Increased vaginal discharge,Mucinous stool,2
Increased vaginal discharge,Mucus is attached to the feces.,3
Increased vaginal discharge,The stool is hard and dry.,2
Increased vaginal discharge,Skin Swelling,12
Increased vaginal discharge,Watery Diarrhea,3
Increased vaginal discharge,Spinning in circles,6
Increased vaginal discharge,Skin laxity and lack of elasticity,14
Increased vaginal discharge,Rhinitis sicca,5
Increased vaginal discharge,"Most of the time, maintain a sitting or lying down position.",2
Increased vaginal discharge,Skin Inflammation,6
Increased vaginal discharge,Shortness of Breath,3
Increased vaginal discharge,Scales,4
Increased vaginal discharge,Skin Injury,6
Increased vaginal discharge,Stomatitis,1
Increased vaginal discharge,Nasal speculum dryness and cracking,6
Increased vaginal discharge,Unable to lift one's head when looking down.,4
Increased vaginal discharge,Lice found on the body,1
Increased vaginal discharge,There are insect eggs.,2
Increased vaginal discharge,Sparse hair at the joints,3
Increased vaginal discharge,Undescended Testes,2
Increased vaginal discharge,Thickening of the skin,10
Increased vaginal discharge,Oral Ulcer on the Dorsum of the Tongue,1
Increased vaginal discharge,Scratching the ears,3
Increased vaginal discharge,Watery stool,5
Increased vaginal discharge,Pupillary constriction,3
Increased vaginal discharge,The head is held high and unwilling to bow down.,1
Increased vaginal discharge,Redness of the chin skin,1
Increased vaginal discharge,There are black spots under the chin.,1
Increased vaginal discharge,Reaction to Rapidly Approaching Objects,2
Increased vaginal discharge,"Lice, fleas, ticks, or mites are found on the body.",1
Increased vaginal discharge,Sparse hair,3
Increased vaginal discharge,Red urine,1
Increased vaginal discharge,Weakness,3
Increased vaginal discharge,Skin Itching,9
Increased vaginal discharge,Mass Lesion,1
Increased vaginal discharge,The color of the fur on the dorsal side of the tail has darkened to a deep brown.,1
Increased vaginal discharge,The tail fur has become very greasy.,2
Increased vaginal discharge,Unable to stand,4
Increased vaginal discharge,Skin injury,4
Increased vaginal discharge,Ulcerative Infection,2
Increased vaginal discharge,Mouth breathing,3
Increased vaginal discharge,Visible mucous membrane hyperemia,1
Increased vaginal discharge,Ocular Abnormalities,2
Increased vaginal discharge,Skin itching,1
Increased vaginal discharge,The head is held high and refuses to bow down.,1
Increased vaginal discharge,Joint Inflammation,2
Increased vaginal discharge,Joint Swelling,4
Increased vaginal discharge,On tiptoes,4
Increased vaginal discharge,Photophobia,2
Increased vaginal discharge,Swelling under the eyes,2
Increased vaginal discharge,Ulcerative Keratitis,2
Increased vaginal discharge,Tarry stool,1
Increased vaginal discharge,Mild skin fissures,1
Increased vaginal discharge,Patchy,1
Increased vaginal discharge,Skin Ulcer Scar,1
Increased vaginal discharge,Skin thickening,1
Increased vaginal discharge,Streaming frothy nasal discharge,1
Increased vaginal discharge,Interdigital Abscess,1
Increased vaginal discharge,Interdigital reddening,1
Increased vaginal discharge,Stenosis of the nasal passages,1
Increased vaginal discharge,Postauricular Hair Removal,2
Increased vaginal discharge,The feces are coated with mucus.,1
Increased vaginal discharge,Reduced urine output,1
Increased vaginal discharge,Joint stiffness,1
Increased vaginal discharge,"Most of the time, maintain a sitting or lying down posture.",1
Increased vaginal discharge,Stiff Gait,1
Increased vaginal discharge,Painless ulcer,1
Increased vaginal discharge,Joint and Muscle Pain,2
Increased vaginal discharge,Urine is reddish-brown.,1
Increased vaginal discharge,Superficial Lymph Node Enlargement,1
Increased vaginal discharge,Tenesmus,2
Increased vaginal discharge,Pupillary White Discharge,2
Increased vaginal discharge,Secretions flowing from the vulva,1
Increased vaginal discharge,Weight Loss,1
Increased vaginal discharge,Progressive emaciation,1
Increased vaginal discharge,Unusual Skin Odor,1
Increased vaginal discharge,Proglottids expelled with feces,1
Lymphadenopathy,Skin redness and swelling,169
Lymphadenopathy,Polydipsia and Polyuria,27
Lymphadenopathy,Purple tongue,1
